neighbourhood,count
Rossville,1
Woodrow,1
New Dorp,1
Richmondtown,1
Westerleigh,2
Lighthouse Hill,2
"Bay Terrace, Staten Island",2
West Farms,2
Howland Hook,2
Willowbrook,2
Silver Lake,2
Elmhurst,2050
Neponsit,3
Graniteville,3
Fort Wadsworth,3
Jamaica,771
Holliswood,4
Olinville,4
Mill Basin,4
Prince's Bay,4
Spuyten Duyvil,4
Arden Heights,4
Castleton Corners,4
Rego Park,260
Breezy Point,5
Huguenot,5
Eltingville,5
Far Rockaway,261
Midland Beach,6
Mount Eden,6
Bay Ridge,262
Emerson Hill,7
New Brighton,7
Grymes Hill,7
New Dorp Beach,7
Shore Acres,7
Rosebank,7
Todt Hill,8
Mariners Harbor,8
Bay Terrace,8
Tottenville,9
Belle Harbor,10
Melrose,10
Unionport,10
Oakwood,11
Bergen Beach,11
Manhattan Beach,11
Baychester,12
Jamaica Hills,12
Dongan Hills,13
Little Neck,13
Sea Gate,13
Murray Hill,26125
New Springville,14
Co-op City,14
Grant City,14
Bull's Head,14
Fieldston,15
South Beach,16
Westchester Square,16
Theater District,18704
North Riverdale,17
Riverdale,17
Navy Yard,18
Great Kills,18
Marble Hill,18
Edenwald,19
Woodlawn,19
Whitestone,19
Bellerose,20
Tremont,20
Dyker Heights,20
DUMBO,276
Port Richmond,21
College Point,21
Morris Heights,21
Bronxdale,21
Ridgewood,1301
Douglaston,22
Bayswater,22
East New York,790
Pelham Bay,24
City Island,26
Jamaica Estates,26
Bath Beach,26
Soundview,27
Van Nest,27
East Morrisania,29
Hollis,31
Morrisania,32
Kew Gardens Hills,32
Maspeth,545
Howard Beach,36
Norwood,37
Mount Hope,38
Cambria Heights,38
Belmont,38
Schuylerville,39
Concourse Village,39
Forest Hills,295
Chinatown,551
Borough Park,552
Vinegar Hill,43
Morris Park,44
Laurelton,44
Ditmars Steinway,556
Stuyvesant Town,47
Randall Manor,47
Pelham Gardens,48
Upper West Side,13360
Castle Hill,51
Cypress Hills,307
West Brighton,52
Stapleton,55
Throgs Neck,56
Clifton,57
University Heights,57
Columbia St,60
Canarsie,316
Highbridge,61
Middle Village,61
Claremont Village,62
Carroll Gardens,319
Hunts Point,64
Clason Point,65
Parkchester,68
Inwood,580
East Village,6724
Coney Island,71
Kew Gardens,72
Concourse,72
Woodhaven,329
Fresh Meadows,74
Bayside,79
Fort Hamilton,79
Flatiron District,591
Hell's Kitchen,25169
Wakefield,82
Rockaway Beach,82
East Flatbush,1874
Williamsbridge,88
Arrochar,88
St. George,93
Queens Village,94
Longwood,97
Glendale,97
Roosevelt Island,97
Red Hook,98
Mott Haven,100
Kips Bay,7268
Lower East Side,2407
Little Italy,616
East Harlem,2666
Crown Heights,2666
Tompkinsville,108
Kensington,366
Two Bridges,112
Ozone Park,114
Cobble Hill,116
Allerton,116
Rosedale,123
Boerum Hill,381
Concord,127
Arverne,128
Civic Center,130
Fort Greene,1412
South Ozone Park,133
Sheepshead Bay,391
Edgemere,139
Brighton Beach,140
Brownsville,140
Gowanus,652
Battery Park City,661
Bensonhurst,150
Flatlands,154
Upper East Side,16282
Kingsbridge,155
West Village,5019
Midwood,157
Eastchester,157
Prospect Heights,669
Gramercy,1951
South Slope,416
NoHo,673
Brooklyn Heights,166
SoHo,1191
Port Morris,168
Prospect-Lefferts Gardens,936
Long Island City,1194
Greenwich Village,939
Jackson Heights,940
Chelsea,18098
St. Albans,180
Tribeca,7606
Harlem,5819
Park Slope,702
Astoria,2495
Midtown,25025
Washington Heights,1733
Williamsburg,5830
Flushing,1736
Woodside,4554
Nolita,971
Flatbush,974
Financial District,85454
Downtown Brooklyn,214
Bedford-Stuyvesant,9688
Corona,221
Gravesend,224
East Elmhurst,484
Clinton Hill,998
Bushwick,6379
Morningside Heights,492
Sunset Park,748
Sunnyside,2542
Briarwood,240
Richmond Hill,241
Windsor Terrace,242
Fordham,243
Springfield Gardens,248
Greenpoint,5882
Midtown,2
Kensington,6
